Employee_ID,First_Name,Last_Name,Age,Department,Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work
EMP1000,Bob,Davis,25,DevOps,California,Active,04 February 2021,59767.65,bob.davis@example.com,1898471390,Average,TRUE
EMP1001,Bob,Brown,32,Finance,Texas,Active,07 October 2020,65304.66,bob.brown@example.com,5596363211,Excellent,TRUE
EMP1002,Alice,Jones,32,Admin,Nevada,Pending,12 July 2023,88145.9,alice.jones@example.com,3476490784,Good,TRUE
EMP1003,Eva,Davis,25,Admin,Nevada,Inactive,27 November 2021,69450.99,eva.davis@example.com,1586734256,Good,TRUE
EMP1004,Frank,Williams,25,Cloud Tech,Florida,Active,01 May 2022,109324.61,frank.williams@example.com,5409003485,Poor,FALSE
EMP1005,Alice,Garcia,40,Sales,Texas,Inactive,06 October 2020,88642.84,alice.garcia@example.com,4518376063,Good,FALSE
EMP1006,Frank,Jones,32,Admin,Nevada,Active,04 March 2020,96288.43,frank.jones@example.com,4134327559,Good,FALSE
EMP1007,Bob,Jones,30,Cloud Tech,Florida,Inactive,17 July 2022,94497.91,bob.jones@example.com,4177656123,Average,TRUE
EMP1008,Frank,Davis,35,Admin,Nevada,Inactive,12 August 2023,115565.82,frank.davis@example.com,8156985699,Excellent,TRUE
EMP1009,Charlie,Johnson,32,DevOps,New York,Active,08 April 2022,76561.88,charlie.johnson@example.com,2720634590,Excellent,TRUE
EMP1010,David,Williams,35,Cloud Tech,New York,Active,07 June 2024,72081.71,david.williams@example.com,1238296576,Average,FALSE
EMP1011,David,Davis,32,DevOps,California,Active,09 April 2023,84946.19,david.davis@example.com,2429543164,Poor,TRUE
EMP1012,Heidi,Williams,30,HR,New York,Active,03 May 2024,89295.77,heidi.williams@example.com,2669300892,Excellent,FALSE
EMP1013,Grace,Williams,32,Finance,California,Active,10 October 2020,85666.84,grace.williams@example.com,1734206968,Good,FALSE
EMP1014,Alice,Garcia,25,Admin,Nevada,Active,06 October 2024,97633.68,alice.garcia@example.com,4215291085,Excellent,TRUE
EMP1015,Grace,Jones,40,Sales,Florida,Pending,29 May 2021,117975.49,grace.jones@example.com,7713334475,Good,TRUE
EMP1016,Alice,Brown,25,DevOps,Illinois,Inactive,23 April 2024,94867.33,alice.brown@example.com,2639343625,Poor,FALSE
EMP1017,Grace,Garcia,30,Finance,Texas,Pending,28 November 2024,100377.65,grace.garcia@example.com,2044397358,Average,TRUE
EMP1018,Charlie,Garcia,32,Cloud Tech,Nevada,Inactive,19 September 2024,94726.46,charlie.garcia@example.com,7107256365,Excellent,FALSE
EMP1019,Charlie,Williams,35,Admin,Illinois,Pending,01 February 2020,91926.12,charlie.williams@example.com,9411800536,Average,TRUE
EMP1020,Bob,Miller,35,HR,New York,Active,05 August 2021,111460.67,bob.miller@example.com,5990048963,Excellent,TRUE
EMP1021,Bob,Jones,40,Cloud Tech,Illinois,Active,19 September 2020,96182.56,bob.jones@example.com,6528092427,Good,FALSE
EMP1022,Charlie,Johnson,35,Sales,Illinois,Inactive,03 September 2021,115023.94,charlie.johnson@example.com,7572158623,Average,TRUE
EMP1023,David,Garcia,35,Finance,Nevada,Pending,02 March 2022,80667.01,david.garcia@example.com,1502745643,Excellent,FALSE
EMP1024,Bob,Brown,30,Admin,Texas,Inactive,13 February 2020,91181.61,bob.brown@example.com,9485625727,Good,TRUE
EMP1025,David,Miller,25,Cloud Tech,Nevada,Pending,30 April 2020,66025.92,david.miller@example.com,7032032073,Average,FALSE
EMP1026,Frank,Miller,25,Sales,New York,Inactive,10 February 2023,83979.01,frank.miller@example.com,2761707586,Average,FALSE
